Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
57	:	1776957309.460	     0.162	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax=? [F ("XrayReport1" | "XrayReport2" | "XrayReport3" | "XrayReport4") || F "LVHreport1"]' --timeout 10 --dot-maxwidth 56 --conditional:precision 1e-6 --conditional:algorithm bisection-pt
59	:	1776957309.471	     0.164	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax=? [F ("XrayReport1" | "XrayReport2" | "XrayReport3" | "XrayReport4") || F "LVHreport1"]' --timeout 10 --dot-maxwidth 58 --conditional:precision 1e-6 --conditional:algorithm restart
65	:	1776957309.560	     0.111	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax=? [F ("XrayReport1" | "XrayReport2" | "XrayReport3" | "XrayReport4") || F "LVHreport1"]' --timeout 10 --dot-maxwidth 64 --conditional:precision 1e-6 --conditional:algorithm bisection-advanced-pt
61	:	1776957309.524	     0.166	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax=? [F "Disease4" || F "CO21"]' --timeout 10 --dot-maxwidth 60 --conditional:precision 1e-6 --conditional:algorithm restart
63	:	1776957309.539	     0.154	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax=? [F ("XrayReport1" | "XrayReport2" | "XrayReport3" | "XrayReport4") || F "LVHreport1"]' --timeout 10 --dot-maxwidth 62 --conditional:precision 1e-6 --conditional:algorithm bisection-advanced
66	:	1776957309.562	     0.136	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax=? [F "Disease4" || F "CO21"]' --timeout 10 --dot-maxwidth 65 --conditional:precision 1e-6 --conditional:algorithm bisection-advanced-pt
62	:	1776957309.535	     0.166	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax>=0.5 [F "Disease4" || F "CO21"]' --timeout 10 --dot-maxwidth 61 --conditional:precision 1e-6 --conditional:algorithm restart
64	:	1776957309.557	     0.144	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax=? [F "Disease4" || F "CO21"]' --timeout 10 --dot-maxwidth 63 --conditional:precision 1e-6 --conditional:algorithm bisection-advanced
67	:	1776957309.570	     0.153	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax=? [F ("XrayReport1" | "XrayReport2" | "XrayReport3" | "XrayReport4") || F "LVHreport1"]' --timeout 10 --dot-maxwidth 66 --exact --conditional:precision 1e-6 --conditional:algorithm bisection
68	:	1776957309.588	     0.154	0	0	0	0	storm/build/bin/storm -drn benchmarks/rq1/models/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax>=0.5 [F ("XrayReport1" | "XrayReport2" | "XrayReport3" | "XrayReport4") || F "LVHreport1"]' --timeout 10 --dot-maxwidth 67 --exact --conditional:precision 1e-6 --conditional:algorithm bisection
