Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
69	:	1769372186.519	     0.286	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax=? [F "Disease4" || F "CO21"]' --timeout 600 --dot-maxwidth 68 --exact --minmax:precision 1e-6 -condtol 1e-6 --conditional bisection
76	:	1769372186.581	     0.232	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax=? [F "Disease4" || F "CO21"]' --timeout 600 --dot-maxwidth 75 --exact --minmax:precision 1e-6 -condtol 1e-6 --conditional bisection-advanced-pt
74	:	1769372186.563	     0.253	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax=? [F "Disease4" || F "CO21"]' --timeout 600 --dot-maxwidth 73 --exact --minmax:precision 1e-6 -condtol 1e-6 --conditional bisection-advanced
72	:	1769372186.552	     0.274	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax=? [F "Disease4" || F "CO21"]' --timeout 600 --dot-maxwidth 71 --exact --minmax:precision 1e-6 -condtol 1e-6 --conditional bisection-pt
9	:	1769372185.791	     1.271	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax=? [F "PAP0" || F "HRSAT1"]' --timeout 600 --dot-maxwidth 8 --exact --minmax:precision 0.0 -condtol 0 --conditional restart
10	:	1769372185.792	     1.320	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/alarm.drn --prop 'Pmax=? [true];Pmax>=0.5 [F "PAP0" || F "HRSAT1"]' --timeout 600 --dot-maxwidth 9 --exact --minmax:precision 0.0 -condtol 0 --conditional restart
78	:	1769372186.607	     0.797	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/concrete-mdps/coin-03-K=12.drn --prop 'Pmax=? [true];Pmax>=0.5 [F "finished" & "all_coins_equal_0"  || F "all_coins_equal_1"]' --timeout 600 --dot-maxwidth 77 --exact --minmax:precision 0.0 -condtol 0 --conditional bisection
81	:	1769372186.675	     0.868	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/concrete-mdps/coin-03-K=12.drn --prop 'Pmax=? [true];Pmax>=0.5 [F "finished" & "all_coins_equal_0"  || F "all_coins_equal_1"]' --timeout 600 --dot-maxwidth 80 --exact --minmax:precision 0.0 -condtol 0 --conditional restart
80	:	1769372186.642	     0.916	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/concrete-mdps/coin-03-K=12.drn --prop 'Pmax=? [true];Pmax=? [F "finished" & "all_coins_equal_0"  || F "all_coins_equal_1"]' --timeout 600 --dot-maxwidth 79 --exact --minmax:precision 0.0 -condtol 0 --conditional restart
79	:	1769372186.639	     0.945	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/concrete-mdps/coin-03-K=12.drn --prop 'Pmax=? [true];Pmax=? [F "finished" & "all_coins_equal_0"  || F "all_coins_equal_1"]' --timeout 600 --dot-maxwidth 78 --exact --minmax:precision 0.0 -condtol 0 --conditional bisection-pt
39	:	1769372186.071	     1.630	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/BN-benchmarks-mdp/child.drn --prop 'Pmax=? [true];Pmax=? [F ("XrayReport1" | "XrayReport2" | "XrayReport3" | "XrayReport4") || F "LVHreport1"]' --timeout 600 --dot-maxwidth 38 --exact --minmax:precision 0.0 -condtol 0 --conditional bisection
85	:	1769372186.735	     1.083	0	0	0	0	../storm/build/bin/storm -drn /home/sjunges/Cond/premise/premise/examples/concrete-mdps/coin-03-K=12.drn --prop 'Pmax=? [true];Pmax>=0.5 [F "finished" & "all_coins_equal_0"  || F "all_coins_equal_1"]' --timeout 600 --dot-maxwidth 84 --minmax:precision 1e-6 -condtol 1e-6 --conditional bisection
